time,latitude,longitude,number,step,isobaricInhPa,valid_time,r,t,u,v,vo
2024-01-01 00:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 00:00:00,82.85939,271.3047,-6.6118956,-5.023162,0.000109328204
2024-01-01 01:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 01:00:00,82.1416,271.00073,-6.264139,-5.3820143,9.883715e-05
2024-01-01 02:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 02:00:00,81.19896,270.79077,-5.646884,-5.094159,9.2273825e-05
2024-01-01 03:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 03:00:00,79.841034,270.66846,-5.0190315,-4.702361,8.436537e-05
2024-01-01 04:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 04:00:00,78.88623,270.55347,-4.2736177,-5.244092,8.203721e-05
2024-01-01 05:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 05:00:00,77.338776,270.4165,-3.6973047,-6.2047434,9.4835574e-05
2024-01-01 06:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 06:00:00,75.13776,270.2849,-3.526328,-6.152254,9.0680274e-05
2024-01-01 07:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 07:00:00,73.053604,270.19238,-3.115305,-5.510683,7.403831e-05
2024-01-01 08:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 08:00:00,71.51686,270.07593,-2.5533438,-5.9749575,7.449917e-05
2024-01-01 09:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 09:00:00,70.45538,269.8396,-2.2185602,-6.5483093,8.535091e-05
2024-01-01 10:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 10:00:00,78.06427,269.23364,-1.289937,-5.2941065,7.3598654e-05
2024-01-01 11:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 11:00:00,76.33479,269.11328,-0.7477787,-5.4761047,7.0448965e-05
2024-01-01 12:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 12:00:00,75.504654,269.03296,-0.5417749,-5.6317377,6.476656e-05
2024-01-01 13:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 13:00:00,75.23355,268.95996,-0.2376197,-5.6230803,5.5738943e-05
2024-01-01 14:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 14:00:00,74.603165,268.95264,-0.033287857,-5.3178577,4.7522917e-05
2024-01-01 15:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 15:00:00,73.49269,268.96484,0.37639594,-5.1976547,3.851077e-05
2024-01-01 16:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 16:00:00,72.78987,269.0747,0.99088156,-4.637295,3.0643205e-05
2024-01-01 17:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 17:00:00,71.88454,269.2859,1.8493576,-3.7854967,2.1043568e-05
2024-01-01 18:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 18:00:00,71.611725,269.45264,2.835353,-3.5169916,1.0450199e-05
2024-01-01 19:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 19:00:00,71.47574,269.61377,3.7331333,-3.7100878,2.297059e-06
2024-01-01 20:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 20:00:00,71.44591,269.73584,4.2487736,-3.677452,-8.550976e-06
2024-01-01 21:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 21:00:00,71.77995,269.81104,4.6194696,-3.119398,-1.8188322e-05
2024-01-01 22:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 22:00:00,78.51997,269.02222,4.5061693,-1.828908,-2.7193571e-05
2024-01-01 23:00:00,44.28,-81.52,0,0 days,975.0,2024-01-01 23:00:00,77.952194,269.4353,5.3326464,-1.1193657,-3.5917445e-05
2024-01-02 00:00:00,44.28,-81.52,0,0 days,975.0,2024-01-02 00:00:00,75.75049,269.81885,5.9578753,-0.17844337,-4.409741e-05
