Time (s),U,V,Y
0.0000,0.0538,98.0101,1.0000,0.0000
3600.0000,0.1834,83.5713,1.0000,0.0000
7200.0000,0.2259,48.8673,1.0000,0.0000
10800.0000,0.0862,42.3906,2.6199,0.0000
14400.0000,0.0319,41.6370,7.0860,0.0000
18000.0000,0.1308,31.9852,1.7273,0.0000
21600.0000,0.0434,30.8963,5.2093,0.0000
25200.0000,0.0343,30.3438,6.5923,0.0000
28800.0000,0.3579,33.8218,1.0000,0.0000
32400.0000,0.2770,24.8256,1.2921,0.0000
36000.0000,0.1350,22.6014,2.6508,0.0000
39600.0000,0.3035,18.0728,1.1790,0.0000
43200.0000,0.0648,17.7086,5.5218,0.0001
46800.0000,0.0155,17.6925,23.0979,0.0001
50400.0000,0.0613,17.3786,5.8418,0.0001
54000.0000,0.0305,17.3104,11.7270,0.0001
57600.0000,0.0211,17.2800,16.9807,0.0001
61200.0000,0.1435,15.8808,2.4933,0.0001
64800.0000,0.1409,14.6948,2.5392,0.0001
68400.0000,0.1418,13.6392,2.5245,0.0001
72000.0000,0.0672,13.4041,5.3280,0.0001
75600.0000,0.1208,12.7487,2.9629,0.0001
79200.0000,0.0717,12.5044,4.9881,0.0001
82800.0000,0.1631,11.4898,2.1945,0.0001
86400.0000,0.0489,11.3984,7.3177,0.0001
90000.0000,0.1035,11.0005,3.4575,0.0001
93600.0000,0.0670,10.8440,5.3407,0.0001
97200.0000,0.0304,10.7983,11.7893,0.0001
100800.0000,0.0294,10.7741,12.1728,0.0002
104400.0000,0.0847,10.5038,4.2231,0.0002
108000.0000,0.0826,10.2790,4.3316,0.0002
111600.0000,0.1217,9.8336,2.9397,0.0002
115200.0000,0.1133,9.4703,3.1584,0.0002
118800.0000,0.0810,9.2802,4.4185,0.0002
122400.0000,0.2946,8.9175,1.2148,0.0002
126000.0000,0.1439,8.4933,2.4865,0.0002
129600.0000,0.0325,8.4751,10.9983,0.0002
133200.0000,0.0755,8.3377,4.7376,0.0002
136800.0000,0.1371,7.9893,2.6100,0.0002
140400.0000,0.1713,7.5523,2.0897,0.0002
